,Feat,Tfs,corpus_index
1303,travas elétricas,159.0,478.0
1304,ar condicionado,360.0,479.0
1305,computador bordo,210.0,479.0
1306,rodas liga,207.0,479.0
1307,liga leve,202.0,479.0
1308,ipva pago,153.0,479.0
1309,desembaçador traseiro,187.0,479.0
1310,freio abs,169.0,479.0
1311,direção elétrica,168.0,479.0
1312,regulagem altura,155.0,479.0
1313,bancos couro,145.0,479.0
1314,ano cor,117.0,479.0
1315,retrovisores elétricos,138.0,479.0
1316,bancos couro,145.0,481.0
1317,publicado revenda,71.0,482.0
1318,chave reserva,146.0,482.0
1319,ar condicionado,360.0,484.0
1320,liga leve,202.0,484.0
1321,rodas liga,207.0,486.0
1322,bancos couro,145.0,487.0
1323,bancos couro,145.0,488.0
1324,chave reserva,146.0,489.0
1325,pneus novos,95.0,489.0
1326,ar condicionado,360.0,490.0
1327,direção hidráulica,181.0,490.0
1328,regulagem altura,155.0,490.0
1329,pneus novos,95.0,490.0
1330,chave reserva,146.0,491.0
1331,pneus novos,95.0,491.0
1332,ar condicionado,360.0,492.0
1333,computador bordo,210.0,492.0
1334,vidros elétricos,208.0,492.0
1335,rodas liga,207.0,492.0
1336,publicado revenda,71.0,492.0
1337,direção hidráulica,181.0,492.0
1338,liga leve,202.0,492.0
1339,desembaçador traseiro,187.0,492.0
1340,air bag,165.0,492.0
1341,regulagem altura,155.0,492.0
1342,ipva pago,153.0,497.0
1343,ar condicionado,360.0,498.0
1344,computador bordo,210.0,498.0
1345,publicado revenda,71.0,498.0
1346,direção hidráulica,181.0,498.0
1347,bancos couro,145.0,498.0
1348,ar condicionado,360.0,499.0
1349,computador bordo,210.0,499.0
1350,vidros elétricos,208.0,499.0
1351,rodas liga,207.0,499.0
1352,publicado revenda,71.0,499.0
1353,direção hidráulica,181.0,499.0
1354,liga leve,202.0,499.0
1355,desembaçador traseiro,187.0,499.0
1356,air bag,165.0,499.0
1357,regulagem altura,155.0,499.0
1358,bancos couro,145.0,499.0
1359,ar condicionado,360.0,500.0
1360,direção hidráulica,181.0,500.0
1361,regulagem altura,155.0,500.0
1362,pneus novos,95.0,500.0
1363,vidros elétricos,208.0,501.0
1364,chave reserva,146.0,501.0
1365,único dono,139.0,501.0
1366,ar condicionado,360.0,502.0
1367,vidros elétricos,208.0,502.0
1368,direção hidráulica,181.0,502.0
1369,chave reserva,146.0,502.0
1370,ar condicionado,360.0,504.0
1371,vidros elétricos,208.0,504.0
1372,direção hidráulica,181.0,504.0
1373,ar condicionado,360.0,505.0
1374,computador bordo,210.0,505.0
1375,freio abs,169.0,505.0
1376,travas elétricas,159.0,505.0
1377,direção elétrica,168.0,505.0
1378,air bag,165.0,506.0
1379,bancos couro,145.0,508.0
1380,pneus novos,95.0,509.0
1381,ar condicionado,360.0,512.0
1382,vidros elétricos,208.0,512.0
1383,direção hidráulica,181.0,512.0
1384,publicado revenda,71.0,513.0
1385,ipva pago,153.0,514.0
1386,pneus novos,95.0,514.0
1387,ar condicionado,360.0,515.0
1388,vidros elétricos,208.0,515.0
1389,direção hidráulica,181.0,515.0
1390,chave reserva,146.0,515.0
1391,travas elétricas,159.0,515.0
1392,ar condicionado,360.0,516.0
1393,computador bordo,210.0,516.0
1394,rodas liga,207.0,516.0
1395,liga leve,202.0,516.0
1396,direção elétrica,168.0,516.0
1397,retrovisores elétricos,138.0,516.0
1398,ar condicionado,360.0,517.0
1399,vidros elétricos,208.0,517.0
1400,direção hidráulica,181.0,517.0
1401,desembaçador traseiro,187.0,517.0
1402,air bag,165.0,517.0
1403,travas elétricas,159.0,517.0
1404,ano cor,117.0,518.0
1405,chave reserva,146.0,519.0
1406,pneus novos,95.0,520.0
1407,único dono,139.0,521.0
1408,ipva pago,153.0,522.0
1409,direção hidráulica,181.0,523.0
1410,bancos couro,145.0,523.0
1411,único dono,139.0,525.0
1412,chave reserva,146.0,526.0
1413,bancos couro,145.0,526.0
1414,air bag,165.0,527.0
1415,chave reserva,146.0,527.0
1416,chave reserva,146.0,528.0
1417,vidros elétricos,208.0,530.0
1418,ipva pago,153.0,530.0
1419,bancos couro,145.0,530.0
1420,retrovisores elétricos,138.0,530.0
1421,direção hidráulica,181.0,532.0
1422,liga leve,202.0,532.0
1423,ar condicionado,360.0,533.0
1424,vidros elétricos,208.0,533.0
1425,rodas liga,207.0,533.0
1426,liga leve,202.0,533.0
1427,chave reserva,146.0,533.0
1428,ar condicionado,360.0,534.0
1429,vidros elétricos,208.0,534.0
1430,direção hidráulica,181.0,534.0
1431,air bag,165.0,534.0
1432,chave reserva,146.0,534.0
1433,travas elétricas,159.0,534.0
1434,vidros elétricos,208.0,535.0
1435,ar condicionado,360.0,540.0
1436,ipva pago,153.0,540.0
1437,chave reserva,146.0,540.0
1438,ar condicionado,360.0,541.0
1439,computador bordo,210.0,541.0
1440,vidros elétricos,208.0,541.0
1441,rodas liga,207.0,541.0
1442,direção hidráulica,181.0,541.0
1443,liga leve,202.0,541.0
1444,travas elétricas,159.0,541.0
1445,vidros elétricos,208.0,542.0
1446,direção hidráulica,181.0,542.0
1447,ar condicionado,360.0,546.0
1448,computador bordo,210.0,546.0
1449,vidros elétricos,208.0,546.0
1450,rodas liga,207.0,546.0
1451,direção hidráulica,181.0,546.0
1452,liga leve,202.0,546.0
1453,desembaçador traseiro,187.0,546.0
1454,air bag,165.0,546.0
1455,travas elétricas,159.0,546.0
1456,regulagem altura,155.0,546.0
1457,bancos couro,145.0,546.0
1458,retrovisores elétricos,138.0,546.0
1459,ar condicionado,360.0,550.0
1460,direção hidráulica,181.0,550.0
1461,chave reserva,146.0,550.0
1462,travas elétricas,159.0,550.0
1463,ipva pago,153.0,551.0
1464,air bag,165.0,551.0
1465,chave reserva,146.0,551.0
1466,pneus novos,95.0,551.0
1467,bancos couro,145.0,552.0
1468,computador bordo,210.0,553.0
1469,rodas liga,207.0,553.0
1470,pneus novos,95.0,554.0
1471,ar condicionado,360.0,555.0
1472,vidros elétricos,208.0,555.0
1473,direção hidráulica,181.0,555.0
1474,único dono,139.0,555.0
1475,travas elétricas,159.0,555.0
1476,pneus novos,95.0,555.0
1477,ar condicionado,360.0,556.0
1478,direção hidráulica,181.0,556.0
1479,desembaçador traseiro,187.0,556.0
1480,ar condicionado,360.0,560.0
1481,direção hidráulica,181.0,560.0
1482,bancos couro,145.0,560.0
1483,bancos couro,145.0,562.0
1484,ar condicionado,360.0,563.0
1485,computador bordo,210.0,563.0
1486,rodas liga,207.0,563.0
1487,liga leve,202.0,563.0
1488,freio abs,169.0,563.0
1489,direção elétrica,168.0,563.0
1490,regulagem altura,155.0,563.0
1491,bancos couro,145.0,563.0
1492,ano cor,117.0,563.0
1493,retrovisores elétricos,138.0,563.0
1494,chave reserva,146.0,565.0
1495,computador bordo,210.0,567.0
1496,ipva pago,153.0,567.0
1497,desembaçador traseiro,187.0,567.0
1498,freio abs,169.0,567.0
1499,direção elétrica,168.0,567.0
1500,ano cor,117.0,567.0
1501,ar condicionado,360.0,568.0
1502,computador bordo,210.0,568.0
1503,vidros elétricos,208.0,568.0
1504,rodas liga,207.0,568.0
1505,publicado revenda,71.0,568.0
1506,liga leve,202.0,568.0
